T     E/N       E-var/TT       M/N       M-var/T       Mabs/N       
      1.0000000     -1.9952113    0.038218131     0.34725352   0.0040757588     0.99852113
      1.0000000     -1.9952778    0.037688580     0.35631944   0.0040192708     0.99854167
      1.0000000     -1.9953425    0.037173503     0.36513699   0.0039643273     0.99856164
      1.0000000     -1.9954054    0.036672316     0.37371622   0.0039108656     0.99858108
      1.0000000     -1.9954667    0.036184462     0.38206667   0.0038588267     0.99860000
      1.0000000     -1.9955263    0.035709418     0.39019737   0.0038081544     0.99861842
      1.0000000     -1.9955844    0.035246686     0.39811688   0.0037587957     0.99863636
      1.0000000     -1.9956410    0.034795792     0.40583333   0.0037107002     0.99865385
      1.0000000     -1.9956962    0.034356289     0.41335443   0.0036638199     0.99867089
      1.0000000     -1.9957500    0.033927750     0.42068750   0.0036181094     0.99868750
      1.0000000     -1.9958025    0.033509770     0.42783951   0.0035735254     0.99870370
      1.0000000     -1.9958537    0.033101963     0.43481707   0.0035300268     0.99871951
      1.0000000     -1.9959036    0.032703963     0.44162651   0.0034875744     0.99873494
      1.0000000     -1.9959524    0.032315420     0.44827381   0.0034461310     0.99875000
      1.0000000     -1.9960000    0.031936000     0.45476471   0.0034056609     0.99876471
      1.0000000     -1.9960465    0.031565387     0.46110465   0.0033661303     0.99877907
      1.0000000     -1.9960920    0.031203277     0.46729885   0.0033275069     0.99879310
      1.0000000     -1.9961364    0.030849380     0.47335227   0.0032897598     0.99880682
      1.0000000     -1.9961798    0.030503421     0.47926966   0.0032528595     0.99882022
      1.0000000     -1.9962222    0.030165136     0.48505556   0.0032167778     0.99883333
      1.0000000     -1.9962637    0.029834271     0.49071429   0.0031814877     0.99884615
      1.0000000     -1.9963043    0.029510586     0.49625000   0.0031469636     0.99885870
      1.0000000     -1.9963441    0.029193849     0.50166667   0.0031131807     0.99887097
      1.0000000     -1.9963830    0.028883839     0.50696809   0.0030801154     0.99888298
      1.0000000     -1.9964211    0.028580343     0.51215789   0.0030477452     0.99889474
      1.0000000     -1.9964583    0.028283160     0.51723958   0.0030160482     0.99890625
      1.0000000     -1.9964948    0.027992093     0.52221649   0.0029850037     0.99891753
      1.0000000     -1.9965306    0.027706955     0.52709184   0.0029545918     0.99892857
