T     E/N       E-var/TT       M/N       M-var/T       Mabs/N       
      1.0000000     -1.9963750    0.028947437    -0.41986875   0.0036815586     0.99878125
      1.0000000     -1.9964198    0.028590703    -0.40233951   0.0036361797     0.99879630
      1.0000000     -1.9964634    0.028242653    -0.38523780   0.0035919059     0.99881098
      1.0000000     -1.9964819    0.028095071    -0.36856024   0.0035967762     0.99881325
      1.0000000     -1.9965000    0.027951000    -0.35227381   0.0035658724     0.99882143
      1.0000000     -1.9965412    0.027622734    -0.33636471   0.0035239856     0.99883529
      1.0000000     -1.9965814    0.027302090    -0.32082558   0.0034830714     0.99884884
      1.0000000     -1.9965287    0.027721916    -0.31316092   0.0035577202     0.99882759
      1.0000000     -1.9965227    0.027769816    -0.30017045   0.0035399747     0.99882955
      1.0000000     -1.9964270    0.028533203    -0.28562921   0.0036346678     0.99879775
      1.0000000     -1.9964444    0.028393877    -0.27135000   0.0036054043     0.99880556
      1.0000000     -1.9964615    0.028257609    -0.25738462   0.0035767835     0.99881319
      1.0000000     -1.9964348    0.028470896    -0.25561413   0.0036355339     0.99879891
      1.0000000     -1.9964731    0.028165298    -0.24211290   0.0035965035     0.99881183
      1.0000000     -1.9965106    0.027866191    -0.22889894   0.0035583023     0.99882447
      1.0000000     -1.9965263    0.027741208    -0.21596842   0.0035313813     0.99883158
      1.0000000     -1.9964583    0.028283160    -0.20333854   0.0035464921     0.99881771
      1.0000000     -1.9962268    0.030128619    -0.19106186   0.0039521203     0.99871134
      1.0000000     -1.9962653    0.029821759    -0.17890816   0.0039118596     0.99872449
      1.0000000     -1.9963030    0.029521087    -0.16700000   0.0038724110     0.99873737
      1.0000000     -1.9961400    0.030820402    -0.15879500   0.0040230831     0.99868500
      1.0000000     -1.9961782    0.030515833    -0.16712376   0.0039833184     0.99869802
      1.0000000     -1.9960784    0.031311034    -0.17007843   0.0040713203     0.99866667
      1.0000000     -1.9961165    0.031007635    -0.15871845   0.0040318612     0.99867961
      1.0000000     -1.9961154    0.031016562    -0.14759135   0.0040410850     0.99867788
      1.0000000     -1.9961143    0.031025319    -0.13902381   0.0040786539     0.99867143
      1.0000000     -1.9960566    0.031484968    -0.14710849   0.0041154125     0.99865566
      1.0000000     -1.9960748    0.031340239    -0.15507009   0.0041143009     0.99865888
      1.0000000     -1.9961111    0.031050617    -0.16289352   0.0040762715     0.99867130
      1.0000000     -1.9961468    0.030766299    -0.17057339   0.0040389387     0.99868349
      1.0000000     -1.9961636    0.030632038    -0.17810909   0.0040113269     0.99869091
      1.0000000     -1.9961982    0.030356600    -0.18551351   0.0039752501     0.99870270
      1.0000000     -1.9962321    0.030086070    -0.19278571   0.0039398163     0.99871429
      1.0000000     -1.9962655    0.029820320    -0.19992920   0.0039050087     0.99872566
      1.0000000     -1.9962982    0.029559223    -0.20694737   0.0038708107     0.99873684
      1.0000000     -1.9962435    0.029995728    -0.20604783   0.0038804651     0.99872609
      1.0000000     -1.9962414    0.030012457    -0.21232328   0.0038642223     0.99872845
      1.0000000     -1.9962564    0.029892660    -0.21905128   0.0038397534     0.99873504
      1.0000000     -1.9962881    0.029639804    -0.22566949   0.0038072669     0.99874576
      1.0000000     -1.9962857    0.029659102    -0.23010084   0.0037920483     0.99874790
      1.0000000     -1.9962667    0.029810916    -0.21987917   0.0037853749     0.99874583
      1.0000000     -1.9962975    0.029565001    -0.20979752   0.0037541424     0.99875620
      1.0000000     -1.9962623    0.029845758    -0.21070902   0.0038051432     0.99874180
      1.0000000     -1.9962439    0.029992347    -0.21576423   0.0038472243     0.99873171
      1.0000000     -1.9962419    0.030008024    -0.21457661   0.0038564500     0.99872984
      1.0000000     -1.9962720    0.029768408    -0.20486000   0.0038256496     0.99874000
      1.0000000     -1.9963016    0.029532589    -0.19529762   0.0037953373     0.99875000
      1.0000000     -1.9963307    0.029300476    -0.18588583   0.0037655016     0.99875984
      1.0000000     -1.9963594    0.029071983    -0.17662109   0.0037361313     0.99876953
      1.0000000     -1.9963876    0.028847027    -0.16750000   0.0037072156     0.99877907
      1.0000000     -1.9962769    0.029729170    -0.15858462   0.0038397879     0.99873846
      1.0000000     -1.9962290    0.030111057    -0.16058779   0.0039170855     0.99871756
      1.0000000     -1.9962121    0.030245638    -0.16692803   0.0039554476     0.99870833
      1.0000000     -1.9961805    0.030498035    -0.17311654   0.0040007118     0.99869549
